Stephen Curry,48070014,PG,34,GSW,56,56,34.7,10.0,20.2,4.9,11.4,5.1,8.8,0.7,5.4,6.3,0.9,0.4,2.1,29.4,1941,24.1
John Wall,47345760,PG,32,LAC,34,3,22.2,4.1,9.9,1.0,3.2,3.1,6.7,0.4,2.3,5.2,0.8,0.4,1.7,11.4,755,13.6
Russell Westbrook,47080179,PG,34,LAL/LAC,73,24,29.1,5.9,13.6,1.2,3.9,4.7,9.7,1.2,4.6,7.5,1.0,0.5,2.2,15.9,2126,16.1
LeBron James,44474988,PF,38,LAL,55,54,35.5,11.1,22.2,2.2,6.9,8.9,15.3,1.2,7.1,6.8,0.9,0.6,1.6,28.9,1954,23.9
Kevin Durant,44119845,PF,34,BRK/PHO,47,47,35.6,10.3,18.3,2.0,4.9,8.3,13.4,0.4,6.3,5.0,0.7,1.4,2.1,29.1,1672,25.9
Bradley Beal,43279250,SG,29,WAS,50,50,33.5,8.9,17.6,1.6,4.4,7.3,13.2,0.8,3.1,5.4,0.9,0.7,2.1,23.2,1673,19.7
Kawhi Leonard,42492492,SF,31,LAC,52,50,33.6,8.6,16.8,2.0,4.8,6.6,11.9,1.1,5.4,3.9,1.4,0.5,1.6,23.8,1748,23.9
Paul George,42492492,SF,32,LAC,56,56,34.6,8.2,17.9,2.8,7.6,5.4,10.3,0.8,5.3,5.1,1.5,0.4,2.8,23.8,1939,19.6
Giannis Antetokounmpo,42492492,PF,28,MIL,63,63,32.1,11.2,20.3,0.7,2.7,10.5,17.6,2.2,9.6,5.7,0.8,0.8,3.1,31.1,2024,29.0
Damian Lillard,42492492,PG,32,POR,58,58,36.3,9.6,20.7,4.2,11.3,5.4,9.4,0.8,4.0,7.3,0.9,0.3,1.9,32.2,2107,26.7
Klay Thompson,40600080,SF,32,GSW,69,69,33.0,7.9,18.1,4.4,10.6,3.6,7.6,0.6,3.6,2.4,0.7,0.4,1.9,21.9,2279,14.7
Kyrie Irving,38917057,PG-SG,30,BRK/DAL,60,60,37.4,9.9,20.1,3.1,8.3,6.8,11.8,1.0,4.1,5.5,1.1,0.8,2.8,27.1,2241,22.4
Rudy Gobert,38172414,C,30,MIN,70,70,30.7,5.1,7.8,0.0,0.0,5.1,7.8,3.3,8.3,1.2,0.8,1.4,3.0,13.4,2148,18.9
Khris Middleton,37984276,SF,31,MIL,33,19,24.3,5.4,12.3,1.5,4.9,3.8,7.4,0.8,3.4,4.9,0.7,0.2,2.1,15.1,801,17.4
Anthony Davis,37980720,C,29,LAL,56,54,34.0,9.7,17.2,0.3,1.3,9.3,15.9,3.5,9.1,2.6,1.1,2.0,2.6,25.9,1904,27.8
Jimmy Butler,37653300,PF,33,MIA,64,64,33.4,7.5,13.9,0.6,1.6,6.9,12.3,2.2,3.7,5.3,1.8,0.3,1.3,22.9,2138,27.6
Tobias Harris,37633050,SF,30,PHI,74,74,32.9,5.7,11.4,1.7,4.4,4.0,7.0,0.9,4.8,2.5,0.9,0.5,2.0,14.7,2436,14.8
Kemba Walker,37281261,PG,32,DAL,9,1,16.0,2.7,6.3,0.8,3.1,1.9,3.2,0.3,1.4,2.1,0.2,0.2,1.2,8.0,144,15.0
Trae Young,37096500,PG,24,ATL,73,73,34.8,8.2,19.0,2.1,6.3,6.1,12.7,0.8,2.2,10.2,1.1,0.1,1.4,26.2,2541,22.0
Zach LaVine,37096500,SG,27,CHI,77,77,35.9,8.7,18.0,2.6,7.1,6.1,11.0,0.5,3.9,4.2,0.9,0.2,2.1,24.8,2768,19.0
Ben Simmons,35448672,PG,26,BRK,42,33,26.3,3.2,5.6,0.0,0.0,3.2,5.5,1.0,5.3,6.1,1.3,0.6,3.3,6.9,1105,13.4
Pascal Siakam,35448672,PF,28,TOR,71,71,37.4,8.9,18.5,1.3,4.0,7.6,14.5,1.8,6.0,5.8,0.9,0.5,3.2,24.2,2652,20.3
Myles Turner,35096500,C,26,IND,62,62,29.4,6.5,11.8,1.5,4.0,5.0,7.8,1.4,6.1,1.4,0.6,2.3,3.5,18.0,1825,20.0
Jrue Holiday,34319520,PG,32,MIL,67,65,32.6,7.3,15.3,2.4,6.1,5.0,9.1,1.2,3.9,7.4,1.2,0.4,1.7,19.3,2183,19.2
Karl-Anthony Towns,33833400,PF,27,MIN,29,29,33.0,7.3,14.8,2.1,5.7,5.2,9.1,1.7,6.5,4.8,0.7,0.6,3.8,20.8,957,18.8
Devin Booker,33833400,SG,26,PHO,53,53,34.6,9.9,20.1,2.1,6.0,7.8,14.2,0.9,3.7,5.5,1.0,0.3,3.0,27.8,1835,22.0
Andrew Wiggins,33616770,SF,27,GSW,37,37,32.2,6.8,14.3,2.4,6.1,4.4,8.2,1.6,3.4,2.3,1.2,0.8,2.9,17.1,1190,14.7
